Sommario profitti e perdite Realizzati e Non realizzati,Header,Tipo di attivo,Simbolo,Agg. costo,Realizzato Profitto S/T,Realizzato Perdita S/T,Realizzato Profitto L/T,Realizzato Perdita L/T,Realizzato Totale,Non realizzato Profitto S/T,Non realizzato Perdita S/T,Non realizzato Profitto L/T,Non realizzato Perdita L/T,Non realizzato Totale,Totale,Codice
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 165 C,0,978.855689137,0,0,0,978.855689137,0,0,0,0,0,978.855689137,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 165 P,0,240.203282724,0,0,0,240.203282724,0,0,0,0,0,240.203282724,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 167.5 P,0,86.608652613,-22.901345371,0,0,63.707307242,0,0,0,0,0,63.707307242,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 170 P,0,148.616603632,0,0,0,148.616603632,0,0,0,0,0,148.616603632,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 172.5 P,0,0,-243.488564518,0,0,-243.488564518,0,0,0,0,0,-243.488564518,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 26AUG22 160 P,0,0,-115.497316263,0,0,-115.497316263,0,0,0,0,0,-115.497316263,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 26AUG22 162.5 P,0,232.575411115,0,0,0,232.575411115,0,0,0,0,0,232.575411115,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 26AUG22 165 C,0,276.323168854,0,0,0,276.323168854,0,0,0,0,0,276.323168854,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 26AUG22 165 P,0,0,-770.70843963,0,0,-770.70843963,0,0,0,0,0,-770.70843963,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 26AUG22 167.5 P,0,0,-267.60789647,0,0,-267.60789647,0,0,0,0,0,-267.60789647,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 26AUG22 172.5 C,0,261.448776373,0,0,0,261.448776373,0,0,0,0,0,261.448776373,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 26AUG22 175 C,0,0,-96.42454149,0,0,-96.42454149,0,0,0,0,0,-96.42454149,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 02SEP22 165 C,0,149.626711562,0,0,0,149.626711562,0,0,0,0,0,149.626711562,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 02SEP22 167.5 C,0,103.277573915,-55.109007694,0,0,48.168566222,0,0,0,0,0,48.168566222,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 02SEP22 170 C,0,0,-49.36940165,0,0,-49.36940165,0,0,0,0,0,-49.36940165,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 09SEP22 160 C,0,106.347017638,0,0,0,106.347017638,0,0,0,0,0,106.347017638,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 09SEP22 165 C,0,0,-24.024534936,0,0,-24.024534936,0,0,0,0,0,-24.024534936,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16SEP22 155 P,0,350.484558551,0,0,0,350.484558551,0,0,0,0,0,350.484558551,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16SEP22 160 C,0,200.087362203,0,0,0,200.087362203,0,0,0,0,0,200.087362203,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16SEP22 160 P,0,0,-1292.034684549,0,0,-1292.034684549,0,0,0,0,0,-1292.034684549,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16SEP22 162.5 C,0,0,-99.101198763,0,0,-99.101198763,0,0,0,0,0,-99.101198763,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 23SEP22 160 C,0,98.750381816,0,0,0,98.750381816,0,0,0,0,0,98.750381816,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 23SEP22 165 C,0,0,-29.913932835,0,0,-29.913932835,0,0,0,0,0,-29.913932835,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 30SEP22 157.5 C,0,72.051390039,0,0,0,72.051390039,0,0,0,0,0,72.051390039,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 30SEP22 160 C,0,71.769342579,0,0,0,71.769342579,0,0,0,0,0,71.769342579,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 30SEP22 165 C,0,0,-19.42807174,0,0,-19.42807174,0,0,0,0,0,-19.42807174,
